headlines,source,relevancy
"Apple, Amazon, YouTube: Safer, faster &amp; less annoying",USA TODAY via Yahoo News,0
What to do as soon as you lose your phone,Yahoo Finance,0
Save $800 on a 21.5-inch Apple iMac with this incredible deal,Mashable via Yahoo Finance,0
"A first look at the gardens of The Newt, Somerset: 'It's not like anything you've ever seen'",The Telegraph via Yahoo News UK,0
Apple's Rumored Drive.ai Buyout to Aid Driverless Car Project,Zacks via Yahoo Finance,0
Antitrust Regulators Are Preparing an Investigation Into Big Tech: What Investors Need to Know,Motley Fool via Yahoo Finance,0
"Save Huge on an Apple Watch, Fitbit, and Bose Headphones With Walmart’s Massive Sale",Men's Health via Yahoo News,0
Music to Apple's and Spotify's Ears: Paid Streaming Expected to Skyrocket,Motley Fool via Yahoo Finance,0
Here's Everything We Know About Apple's Back-to-School Sales,Good Housekeeping via Yahoo News,0
Friday Apple Rumors: iOS 13 Helps Filter Spam Calls,InvestorPlace via Yahoo Finance,0
Can't make it to the theater? BroadwayHD lets you stream Broadway instead,USA TODAY via Yahoo News,0
"How Justified Is the Exuberance Around Apple, Developer CryptoKit?",Cointelegraph via Yahoo Finance,0
"Apple Watches, LG 4K TVs, Remington beard trimmers, Philips electric toothbrushes, and more on sale...",Mashable via Yahoo Finance,0
Apple Store designer submits plans to redevelop Notre Dame with glass roof and spire,The Telegraph via Yahoo News UK,1
Hurry: It looks like Amazon� rare discount on AirPods 2 is going away soon,BGR News via Yahoo News,0
The 5 Best Amazon Deals You Can Score This Weekend,People via Yahoo News,0
"Does The Apple Hospitality REIT, Inc. (NYSE:APLE) Share Price Fall With The Market?",Simply Wall St. via Yahoo Finance,0
Joel Greenblatt's Top 5 Holdings,GuruFocus.com via Yahoo Finance,0
This Apple iPad 2 is on mega sale,AOL.com via Yahoo News,1
Apple's macOS Catalina fixes the most frustrating thing about Dark Mode,Mashable via Yahoo Finance,1
"Apple just added crypto support to iPhone, and we nearly missed it",BGR News via Yahoo News,1
Apple reportedly interested in acquiring a self-driving car startup,BGR News via Yahoo News,1
Best Tech Deals in June 2019,Tom's Guide via Yahoo Finance,0
Love Island's Lucie confuses viewers with another weird decision,Digital Spy via Yahoo News UK,0
On-demand game rivals get ready to rumble in the cloud,AFP via Yahoo News,0
Make time to play these� must-have� video games for your Apple Watch,USA TODAY via Yahoo News,0
Here� a Guide to the U.S. Antitrust Case Against Big Tech Companies,Bloomberg via Yahoo Finance,0
Love Island Viewers Baffled By Lucie’s Bizarre Fruit Eating Habits,HuffPost UK via Yahoo News,0
"Apple lets users track menstrual period cycles on Health app, Watch with software update",USA TODAY via Yahoo News,1
