headline,source,class
The 2019 Toyota RAV4 Hybrid Is the RAV4 to Have,Car and Driver via Yahoo News,0
Biffle scores fairytale Truck race win after 18 year drought,Motorsport via Yahoo Sports,0
"Greg Biffle tames wild Texas, wins Triple Truck Challenge bonus in NASCAR return",NASCAR.com via Yahoo Sports,0
"Best &amp; Worst Fuel Economy for Cars, SUVs, and Trucks",Consumer Reports via Yahoo News,0
"Could Toyota Caetano Portugal, S.A. (ELI:SCT) Have The Makings Of Another Dividend Aristocrat?",Simply Wall St. via Yahoo Finance,0
Toyota to maintain one-lap stint advantage at Le Mans,Motorsport via Yahoo Sports,0
Take The Whole Family Off-Road In This Custom Toyota FJ45 Troopy,motorious via Yahoo News,0
"The Zacks Analyst Blog Highlights: Uber, Lyft, Toyota and DENSO",Zacks via Yahoo Finance,0
"Lotterer was ""naive"" to think LMP1 EoT could work",Motorsport via Yahoo Sports,0
Hartley: Toyota drive no barrier to Porsche FE seat,Motorsport via Yahoo Sports,0
Alonso: Privateers' test day pace hard to understand,Motorsport via Yahoo Sports,0
This 1994 Toyota Has Been Turned Into Thunderbird 2,motorious via Yahoo News,0
Gallery: Get set for the Le Mans 24 Hours Test Day,Motorsport via Yahoo Sports,0
Tanak and Toyota roar through Portuguese dust,AFP via Yahoo Sports,0
2019 Toyota Corolla,Car and Driver via Yahoo News,0
"Auto Stock Roundup: Fiat-Renault Merger Plan, Toyota's Investment in Ride-Sharing Firm",Zacks via Yahoo Finance,0
Tanak and Toyota dominate opening day in Portuguese rally,AFP via Yahoo Sports,0
Why the 2019 Toyota 4Runner Defies Rationality,Popular Mechanics via Yahoo News,0
"Hybridization of NASCAR cars not expected by 2021, Toyota executive says",NBC Sports via Yahoo Sports,0
Toyota (TM) to Invest $550M in China-Based Didi Chuxing,Zacks via Yahoo Finance,0
Toyota may invest about $550 million in China ride-hailing firm Didi: Nikkei,Reuters via Yahoo News,0
Better Buy: Ford Motor vs. Toyota,Motley Fool via Yahoo Finance,0
"Death of the minivan? As Americans buy more SUVs, is the minivan headed for the junkyard?",USA TODAY via Yahoo Finance,0
Toyota supports proposed LMP1 handicap system,Motorsport via Yahoo Sports,0
