Headline,source,class
"Apple, Amazon, YouTube: Safer, faster &amp; less annoying",USA TODAY via Yahoo News,
Amazon Is Selling An Avocado Tree Growing Kit for Just $24,Women's Health via Yahoo News,
"Dell XPS Desktop, PlayStation 4 Pro, PlayStation Plus, iPad Pro, and more for June 8",Mashable via Yahoo Finance,
What's the Difference Between AmazonFresh and Amazon Prime Now?,Consumer Reports via Yahoo News,
FedEx will stop air shipments of packages for Amazon,Associated Press via Yahoo Finance,
TV News Roundup: Amazon Drops Teaser for Animated Series ‘Undone’ (Watch),Variety via Yahoo News,
Antitrust Regulators Are Preparing an Investigation Into Big Tech: What Investors Need to Know,Motley Fool via Yahoo Finance,
Brazil will not change Amazon fund without asking donors: development bank BNDES,Reuters via Yahoo News,
Amazon's New Robots to Aid Automation at Fulfillment Centers,Zacks via Yahoo Finance,
Amazon's coolest hair accessories for summer start at just $7,Yahoo Canada Style,
Get a 6-quart Crock-Pot slow cooker for under $25 on Amazon,BGR News via Yahoo News,
Walmart one-ups Amazon with deliveries direct to refrigerator,AFP Relax News via Yahoo News,
Amazon Alexa Made an Accidental Archive of My Family Life,Fatherly via Yahoo News,
5G Stocks: Will Amazon Dip Its Toes In?,InvestorPlace via Yahoo Finance,
FedEx's Express Unit Ends Relationship With Amazon,Benzinga via Yahoo Finance,
Fear of Amazon Creates a Bargain in FedEx Stock,InvestorPlace via Yahoo Finance,
FedEx Reduces Amazon Ties as Retailer Flexes Delivery Muscles,Bloomberg via Yahoo Finance,
The Latest: Woman facing felony charges in Bezos protest,Associated Press via Yahoo News,
FedEx to end Amazon contract for FedEx Express plane service,Reuters via Yahoo India Finance,
Amazon Buyout Buzz Draws Options Bulls to GrubHub Stock,Schaeffer's Investment Research via Yahoo Finance,
"FedEx Express Drops Amazon, Focuses On 'Broader E-Commerce Market'",Benzinga via Yahoo Finance,
Hurry: It looks like Amazon’s rare discount on AirPods 2 is going away soon,BGR News via Yahoo News,
Thousands of Amazon Shoppers Are Obsessed With This Travel Pillow — and It’s Now Available for Kids,People via Yahoo News,
US Stock Market Overview – Stocks Surge With One of Biggest Weekly Rallies of the Year,FX Empire via Yahoo Finance,
Best Tech Deals in June 2019,Tom's Guide via Yahoo Finance,
The 5 Best Amazon Deals You Can Score This Weekend,People via Yahoo News,
Amazon Just Revealed Its Best-Selling Mascaras — and They’re All Under $10,People via Yahoo News,
This Amazon Organizer Will Change the Way You Dry Dishes,Good Housekeeping via Yahoo News,
Amazon Shoppers Are Obsessed With This Air Fryer—And It’s 43% Off Right Now,Cooking Light via Yahoo News,
How Alexa Got Her Personality,Variety via Yahoo News,
Joel Greenblatt's Top 5 Holdings,GuruFocus.com via Yahoo Finance,
Amazon’s best-selling Wi-Fi extender is back down to $17,BGR News via Yahoo News,
"Amazon’s crazy Fire TV Stick 4K sale is over, but now the Fire TV Stick has been discounted",BGR News via Yahoo News,
Our Style Editor’s Favorite Summer Accessory Is a $10 Scarf From Amazon,Southern Living via Yahoo News,
Bargain alert: Save $804 on this renewed MacBook Pro from Amazon,Mashable via Yahoo Finance,
"How to Succeed in Business, According to Jeff Bezos",Fortune via Yahoo Finance,
7 must-have running accessories,Yahoo Sports,
Scouted: Upgrade Your Outdoor Space With These Highly Rated Options Available on Amazon,The Daily Beast via Yahoo News,
"If Anyone Can Save Barnes &amp; Noble, It Might Be This U.K. CEO",Bloomberg via Yahoo Finance,
"Amazon’s Black Friday deal on PlayStation Plus is back, and you’re crazy if you don’t re-up",BGR News via Yahoo News,
"<a style=""font-size:16px;"" href=""https://r.search.yahoo.com/_ylt=AwrC1zHnwPtc30AAPADQtDMD;_ylu=X3oDMTByOHZyb21tBGNvbG8DYmYxBHBvcwMxBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1560031591/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fentertainment%2femma-thompson-mindy-kaling-night-183035900.html/RK=2/RS=HCg7e_fwWAGQLwWfJEg3XdkrM6s-"" target=""_blank"" title=""Emma Thompson, Mindy Kaling Do ‘Late Night’; ‘Last Black Man In San Francisco’ Opens – Specialty B.O. Preview"">Emma Thompson, Mindy Kaling Do ‘Late Night’; ‘Last Black Man In San Francisco’ Opens – Specialty...",Deadline via Yahoo News,
"Amazon Leaks ‘Destroy All Humans!’ Reboot, Coming to Xbox One, PS4",Variety via Yahoo News,
Deal Alert! This Pretty Cover Up That Doubles as a Summer Dress Is Under $25 Right Now,People via Yahoo News,
FTC went to Silicon Valley to solicit antitrust complaints,Politico via Yahoo News,
"Can Amazon.com, Inc. (NASDAQ:AMZN) Maintain Its Strong Returns?",Simply Wall St. via Yahoo Finance,
"Amazon Stock Will Probably Test $1,500 but It Wan’t Fall Below It",InvestorPlace via Yahoo Finance,
Scouted: Amazon’s Got Everything You Need to Shop for Father’s Day and Find a Perfect Gift,The Daily Beast via Yahoo News,
This New Memory Foam Travel Pillow Has Quickly Become a Best-seller on Amazon,Travel+Leisure via Yahoo News,
Amazon Shoppers Say These 11 Supplements Made Their Nails Grow Crazy-Fast,Who What Wear via Yahoo News,
Jeff Bezos confronted on stage by animal rights activist: 'You are the richest man on the planet',The Independent via Yahoo News UK,
The Latest: Protester arrested at Jeff Bezos Amazon event,Associated Press via Yahoo News,
8 Ridiculous Tiny Houses For Sale on Amazon,Fatherly via Yahoo News,
The new Oculus Quest VR headset has become an Amazon best-seller in just 2 weeks,Entertainment Weekly via Yahoo News,
Protester arrested at Jeff Bezos Amazon conference in Vegas,Associated Press via Yahoo Finance,
Why AI is Amazon’s competitive edge,Yahoo Finance,
