Headline,source,class
"Apple, Amazon, YouTube: Safer, faster &amp; less annoying",USA TODAY via Yahoo News,
Amazon Is Selling An Avocado Tree Growing Kit for Just $24,Women's Health via Yahoo News,
"Dell XPS Desktop, PlayStation 4 Pro, PlayStation Plus, iPad Pro, and more for June 8",Mashable via Yahoo Finance,
What's the Difference Between AmazonFresh and Amazon Prime Now?,Consumer Reports via Yahoo News,
FedEx will stop air shipments of packages for Amazon,Associated Press via Yahoo Finance,
TV News Roundup: Amazon Drops Teaser for Animated Series ‘Undone’ (Watch),Variety via Yahoo News,
Antitrust Regulators Are Preparing an Investigation Into Big Tech: What Investors Need to Know,Motley Fool via Yahoo Finance,
Brazil will not change Amazon fund without asking donors: development bank BNDES,Reuters via Yahoo News,
Amazon's New Robots to Aid Automation at Fulfillment Centers,Zacks via Yahoo Finance,
Amazon's coolest hair accessories for summer start at just $7,Yahoo Canada Style,
"Apple, Amazon, YouTube: Safer, faster &amp; less annoying",USA TODAY via Yahoo News,
Amazon Is Selling An Avocado Tree Growing Kit for Just $24,Women's Health via Yahoo News,
"Dell XPS Desktop, PlayStation 4 Pro, PlayStation Plus, iPad Pro, and more for June 8",Mashable via Yahoo Finance,
What's the Difference Between AmazonFresh and Amazon Prime Now?,Consumer Reports via Yahoo News,
FedEx will stop air shipments of packages for Amazon,Associated Press via Yahoo Finance,
TV News Roundup: Amazon Drops Teaser for Animated Series ‘Undone’ (Watch),Variety via Yahoo News,
Antitrust Regulators Are Preparing an Investigation Into Big Tech: What Investors Need to Know,Motley Fool via Yahoo Finance,
Brazil will not change Amazon fund without asking donors: development bank BNDES,Reuters via Yahoo News,
Amazon's New Robots to Aid Automation at Fulfillment Centers,Zacks via Yahoo Finance,
Amazon's coolest hair accessories for summer start at just $7,Yahoo Canada Style,
"Apple, Amazon, YouTube: Safer, faster &amp; less annoying",USA TODAY via Yahoo News,
Amazon Is Selling An Avocado Tree Growing Kit for Just $24,Women's Health via Yahoo News,
"Dell XPS Desktop, PlayStation 4 Pro, PlayStation Plus, iPad Pro, and more for June 8",Mashable via Yahoo Finance,
What's the Difference Between AmazonFresh and Amazon Prime Now?,Consumer Reports via Yahoo News,
FedEx will stop air shipments of packages for Amazon,Associated Press via Yahoo Finance,
TV News Roundup: Amazon Drops Teaser for Animated Series ‘Undone’ (Watch),Variety via Yahoo News,
Antitrust Regulators Are Preparing an Investigation Into Big Tech: What Investors Need to Know,Motley Fool via Yahoo Finance,
Brazil will not change Amazon fund without asking donors: development bank BNDES,Reuters via Yahoo News,
Amazon's New Robots to Aid Automation at Fulfillment Centers,Zacks via Yahoo Finance,
Amazon's coolest hair accessories for summer start at just $7,Yahoo Canada Style,
"Apple, Amazon, YouTube: Safer, faster &amp; less annoying",USA TODAY via Yahoo News,
Amazon Is Selling An Avocado Tree Growing Kit for Just $24,Women's Health via Yahoo News,
"Dell XPS Desktop, PlayStation 4 Pro, PlayStation Plus, iPad Pro, and more for June 8",Mashable via Yahoo Finance,
What's the Difference Between AmazonFresh and Amazon Prime Now?,Consumer Reports via Yahoo News,
FedEx will stop air shipments of packages for Amazon,Associated Press via Yahoo Finance,
TV News Roundup: Amazon Drops Teaser for Animated Series ‘Undone’ (Watch),Variety via Yahoo News,
Antitrust Regulators Are Preparing an Investigation Into Big Tech: What Investors Need to Know,Motley Fool via Yahoo Finance,
Brazil will not change Amazon fund without asking donors: development bank BNDES,Reuters via Yahoo News,
Amazon's New Robots to Aid Automation at Fulfillment Centers,Zacks via Yahoo Finance,
Amazon's coolest hair accessories for summer start at just $7,Yahoo Canada Style,
"Apple, Amazon, YouTube: Safer, faster &amp; less annoying",USA TODAY via Yahoo News,
Amazon Is Selling An Avocado Tree Growing Kit for Just $24,Women's Health via Yahoo News,
"Dell XPS Desktop, PlayStation 4 Pro, PlayStation Plus, iPad Pro, and more for June 8",Mashable via Yahoo Finance,
What's the Difference Between AmazonFresh and Amazon Prime Now?,Consumer Reports via Yahoo News,
FedEx will stop air shipments of packages for Amazon,Associated Press via Yahoo Finance,
TV News Roundup: Amazon Drops Teaser for Animated Series ‘Undone’ (Watch),Variety via Yahoo News,
Antitrust Regulators Are Preparing an Investigation Into Big Tech: What Investors Need to Know,Motley Fool via Yahoo Finance,
Brazil will not change Amazon fund without asking donors: development bank BNDES,Reuters via Yahoo News,
Amazon's New Robots to Aid Automation at Fulfillment Centers,Zacks via Yahoo Finance,
Amazon's coolest hair accessories for summer start at just $7,Yahoo Canada Style,
"Apple, Amazon, YouTube: Safer, faster &amp; less annoying",USA TODAY via Yahoo News,
Amazon Is Selling An Avocado Tree Growing Kit for Just $24,Women's Health via Yahoo News,
"Dell XPS Desktop, PlayStation 4 Pro, PlayStation Plus, iPad Pro, and more for June 8",Mashable via Yahoo Finance,
What's the Difference Between AmazonFresh and Amazon Prime Now?,Consumer Reports via Yahoo News,
FedEx will stop air shipments of packages for Amazon,Associated Press via Yahoo Finance,
TV News Roundup: Amazon Drops Teaser for Animated Series ‘Undone’ (Watch),Variety via Yahoo News,
Antitrust Regulators Are Preparing an Investigation Into Big Tech: What Investors Need to Know,Motley Fool via Yahoo Finance,
Brazil will not change Amazon fund without asking donors: development bank BNDES,Reuters via Yahoo News,
Amazon's New Robots to Aid Automation at Fulfillment Centers,Zacks via Yahoo Finance,
Amazon's coolest hair accessories for summer start at just $7,Yahoo Canada Style,
"Apple, Amazon, YouTube: Safer, faster &amp; less annoying",USA TODAY via Yahoo News,
Amazon Is Selling An Avocado Tree Growing Kit for Just $24,Women's Health via Yahoo News,
